"journal","community"
"J ACAD NUTR DIET",3
"J AFFECT DISORDERS",11
"J ALTERN COMPLEM MED",23
"J AM ACAD AUDIOL",51
"J AM COLL HEALTH",11
"J AM PODIAT MED ASSN",34
"J AM PSYCHOANAL ASS",77
"J AM SOC ECHOCARDIOG",3
"J APPL SPORT PSYCHOL",40
"J ASSOC NURSE AIDS C",13
"J BALT SCI EDUC",20
"J CANCER EDUC",10
"J CANCER RES THER",10
"J CHEM EDUC",20
"J COMMUN HEALTH NURS",3
"J COMP EFFECT RES",3
"J COMPUT ASSIST LEAR",20
"J CRANIO MAXILL SURG",39
"J DENT SCI",39
"J DEV BEHAV PEDIATR",3
"J DIVERS HIGH EDUC",20
"J ECT",11
"J GENET COUNS",3
"J HEALTH COMMUN",3
"J LEGAL EDUC",48
"J MED ETHICS",3
"J MED MICROBIOL",13
"J MED PHILOS",3
"J MOL DIAGN",10
"J NUTR EDUC BEHAV",3
"J OCCUP MED TOXICOL",38
"J OROFAC PAIN",39
"J PALLIAT CARE",10
"J PEDIAT HEMATOL ONC",10
"J PERINAT NEONAT NUR",3
"J PHYS ACT HEALTH",3
"J PROF NURS",3
"J PSYCHIATR MENT HLT",11
"J PSYCHIATR RES",11
"J PSYCHOSOM OBST GYN",3
"J PUBLIC HEALTH POL",3
"J PUBLIC HEALTH-UK",3
"J RELIG HEALTH",3
"J ROY SOC MED",3
"J SCI EDUC TECHNOL",20
"J SEX MED",49
"J SOC WORK EDUC",71
"J THORAC CARDIOV SUR",3
"J TRANSCULT NURS",3
"J TRANSL MED",1
"J VET MED EDUC",31
"J WOMENS HEALTH",3
"JAMA OTOLARYNGOL",59
"KENNEDY INST ETHIC J",3
"MATERN CHILD HLTH J",3
"MBIO",1
"MED ANTHROPOL Q",50
"MED HEALTH CARE PHIL",3
"MED HIST",58
"MINIM INVASIV THER",16
"NEPHROL DIAL TRANSPL",35
"NEUROCIRUGIA",4
"NEUROENDOCRINOL LETT",4
"NEUROUROL URODYNAM",49
"NEW YORK U LAW REV",48
"NURS ETHICS",3
"NURS INQ",3
"NUTR CLIN PRACT",3
"OBES REV",3
"OBESITY",3
"OBSTET GYNECOL SURV",3
"OCCUP MED-OXFORD",38
"OMEGA-J DEATH DYING",11
"OPHTHALMIC RES",41
"OPHTHALMOLOGY",41
"OR SURG OR MED OR PA",39
"PAIN MANAG NURS",3
"PAIN PRACT",4
"PALLIAT SUPPORT CARE",10
"PEDIATR RHEUMATOL",42
"PERS MED",3
"PERSPECT BIOL MED",3
"PHYS THER",4
"PHYSIOTHERAPY",3
"PREV MED",3
"PROG COMM HLTH PARTN",3
"PSICOL-REFLEX CRIT",9
"PSYCHIAT INVEST",11
"PSYCHIAT PRAX",11
"PSYCHO-ONCOLOGY",10
"PSYCHOSOMATICS",11
"PSYCHOTHER PSYCH MED",11
"PSYCHOTHERAPEUT",11
"PUBLIC HEALTH GENOM",3
"QJM-INT J MED",3
"QUAL INQ",21
"REPROD BIOMED ONLINE",3
"RES LANG SOC INTERAC",29
"RES SOCIAL WORK PRAC",71
"REV CHIL CIR",16
"REV CLIN ESP",3
"REV FR LING APPL",29
"REV MED CHILE",3
"REV PANAM SALUD PUBL",3
"SAINS MALAYS",14
"SAJP-S AFR J PSYCHI",11
"SALUD MENT",11
"SAUDI MED J",3
"SCAND J PRIM HEALTH",3
"SOC PSYCH PSYCH EPID",11
"SOC THEOR HEALTH",3
"SOCIOL SPECTRUM",21
"SPINE",34
"SURG-J R COLL SURG E",16
"TOB INDUC DIS",3
"TOHOKU J EXP MED",3
"TOP GERIATR REHABIL",3
"TRAIN EDUC PROF PSYC",11
"TRENDS MICROBIOL",1
"VET CLIN N AM-EQUINE",31
"VIOLENCE AGAINST WOM",47
"YAKUGAKU ZASSHI",1
"Z ERZIEHWISS",20
"AM J EPIDEMIOL",3
"AM J HEALTH BEHAV",3
"AM J PERINAT",3
"ANN NEUROL",4
"BMC ORAL HEALTH",39
"COMMUNITY DENT ORAL",39
"COMPLEMENT THER MED",23
"CURR PSYCHIAT REP",11
"FORTSCHR NEUROL PSYC",11
"INT DENT J",39
"INT J BEHAV NUTR PHY",3
"INT J OBESITY",3
"INT J PUBLIC HEALTH",3
"INT REV RES DEV DISA",65
"J CHILD ADOL PSYCHOP",11
"J EPIDEMIOL COMMUN H",3
"J PEDIAT-BRAZIL",3
"J PEDIATR HEALTH CAR",3
"J PERINATOL",3
"J PUBLIC HEALTH DENT",39
"J REPROD INFANT PSYC",3
"JOGNN-J OBST GYN NEO",3
"MCN-AM J MATERN-CHIL",3
"NUTR HOSP",3
"NUTR RES",3
"OBESITY FACTS",3
"PEDIATR INFECT DIS J",13
"PEDIATR PHYS THER",4
"QUAL LIFE RES",3
"RES DEV DISABIL",65
"ANN MED-PSYCHOL",11
"ASIA-PAC PSYCHIAT",11
"CAN J OCCUP THER",91
"CHILD ADOL PSYCH CL",11
"COMPR PSYCHIAT",11
"CRIM BEHAV MENT HEAL",11
"ENCEPHALE",11
"HEALTH SOC WORK",71
"INT J SOC PSYCHIATR",11
"J DUAL DIAGN",11
"J ETHN MIGR STUD",21
"PSYCHIAT ANN",11
"PSYCHOANAL PSYCHOL",77
"PSYCHOL RELIG SPIRIT",9
"ACTA CARDIOL SIN",3
"ACTA ONCOL",10
"ADV COLLOID INTERFAC",2
"ADV MATER",2
"AESTHET PLAST SURG",63
"AM J OTOLARYNG",59
"AM J PATHOL",1
"AM J PHYSIOL-LUNG C",1
"AM J VET RES",31
"ANAT REC",1
"ANN ALLERG ASTHMA IM",3
"ANN APPL STAT",24
"ANNU REV BIOMED ENG",1
"APPL OPTICS",2
"APPL PHYS LETT",2
"ARTHRITIS RES THER",42
"ARTHRITIS RHEUM-US",42
"ARTIF INTELL MED",3
"ATHEROSCLEROSIS",3
"BEHAV SCI LAW",47
"BIOL PSYCHOL",4
"BIOMED ENG ONLINE",60
"BIOMED OPT EXPRESS",2
"BIOMED SIGNAL PROCES",60
"BIORHEOLOGY",60
"BMC MED IMAGING",26
"BRAIN IMAGING BEHAV",4
"BREAST CANCER RES TR",10
"BREAST CANCER RES",10
"BREAST CANCER-TOKYO",10
"BREAST CARE",10
"BREAST J",10
"CANCER CONTROL",10
"CANCER PREV RES",10
"CANCER RES",1
"CANCER TREAT REV",10
"CELL TRANSPLANT",1
"CEREB CORTEX",4
"CHINESE J CANCER RES",10
"CIRC-CARDIOVASC IMAG",3
"CLIN BREAST CANCER",10
"CLIN CANCER RES",10
"CLIN CHEST MED",3
"CLIN EXP OPHTHALMOL",41
"COGNITIVE SCI",9
"COMPUT BIOL MED",60
"COMPUT MED IMAG GRAP",33
"CONTRAST MEDIA MOL I",26
"COPD",3
"CRYSTALLOGR REP+",2
"CURR OPIN PULM MED",3
"CURR OPIN RHEUMATOL",42
"CYTOTHERAPY",1
"DIGIT SIGNAL PROCESS",27
"EDUC PSYCHOL MEAS",62
"ENDOCRINE",3
"EUR HEART J-CARD IMG",3
"EUR J INORG CHEM",2
"EUR PHYS J PLUS",32
"EUR RESPIR J",3
"EURASIP J ADV SIG PR",27
"EXPERT REV ANTICANC",10
"EXPERT REV NEUROTHER",4
"FETAL DIAGN THER",3
"GEBURTSH FRAUENHEILK",10
"GYNECOL OBSTET INVES",3
"HEALTH PHYS",26
"HEART SURG FORUM",3
"HORM-INT J ENDOCRINO",3
"HUM PATHOL",10
"IEEE J BIOMED HEALTH",60
"IEEE T IMAGE PROCESS",33
"IEEE T KNOWL DATA EN",30
"IEEE T MICROW THEORY",52
"IEEE T MULTIMEDIA",33
"IEEE T NUCL SCI",26
"IEEE T ULTRASON FERR",51
"INT J IMAG SYST TECH",33
"INT J MED ROBOT COMP",16
"INT J NUMER METH BIO",60
"INTEGR COMPUT-AID E",19
"INTERACT CARDIOV TH",3
"INTERFACE FOCUS",1
"IRAN J RADIOL",26
"J ACOUST SOC AM",51
"J APPL CLIN MED PHYS",26
"J APPL PHYS",2
"J APPL PHYSIOL",40
"J BIOMECH ENG-T ASME",60
"J BIOMECH",60
"J BONE JOINT SURG AM",34
"J BREAST CANCER",10
"J BREATH RES",28
"J CARDIOVASC COMPUT",3
"J CARDIOVASC MAGN R",3
"J CARDIOVASC PHARM",3
"J COMPUT PHYS",8
"J DIGIT IMAGING",26
"J ENDOCRINOL INVEST",3
"J HEALTHC ENG",60
"J INSTRUM",26
"J INVASIVE CARDIOL",3
"J KOREAN NEUROSURG S",4
"J LIPID RES",1
"J MAGN RESON",26
"J MED BIOL ENG",60
"J MED IMAG HEALTH IN",60
"J NEUROIMAGING",4
"J NEUROINTERV SURG",4
"J NEUROL SCI",4
"J NEURO-ONCOL",10
"J NEURORADIOLOGY",4
"J NEUROSCI METH",4
"J NEUROSURG-PEDIATR",4
"J NUCL CARDIOL",3
"J OPT SOC AM A",2
"J PEDIATR ORTHOPED",34
"J PHYS D APPL PHYS",2
"J PHYS-CONDENS MAT",2
"J R SOC INTERFACE",1
"J RADIAT RES",10
"J THORAC ONCOL",10
"J VASC ACCESS",35
"J VISION",9
"J X-RAY SCI TECHNOL",26
"JNCI-J NATL CANCER I",10
"JPN J OPHTHALMOL",41
"LANCET ONCOL",10
"LUNG CANCER",10
"LUNG",3
"LYMPHAT RES BIOL",1
"MACH VISION APPL",33
"MACROMOLECULES",2
"MAGN RESON MED",26
"MEAS SCI TECHNOL",2
"MED BIOL ENG COMPUT",60
"MED DECIS MAKING",3
"MED IMAGE ANAL",33
"MENDELEEV COMMUN",2
"NAT REV NEPHROL",35
"NAT REV UROL",49
"NEUROBIOL AGING",4
"NEUROCOMPUTING",33
"NEUROIMAG CLIN N AM",4
"NEUROINFORMATICS",4
"NEUROL INDIA",4
"NEURO-ONCOLOGY",10
"NEURORADIOLOGY",4
"NUCL INSTRUM METH A",26
"OBSTET GYN CLIN N AM",3
"ODONTOLOGY",39
"ONCOTARGETS THER",10
"OPT EXPRESS",2
"ORAL ONCOL",10
"PANMINERVA MED",3
"PHYS MED BIOL",26
"PHYSIOL MEAS",60
"POSTEP KARDIOL INTER",3
"PROG NUCL MAG RES SP",2
"PSYCHIAT RES-NEUROIM",4
"RHEUMATOLOGY",42
"SARCOIDOSIS VASC DIF",3
"SCIENCEASIA",23
"SIGNAL PROCESS",27
"SKELETAL RADIOL",26
"STEM CELLS INT",1
"THERANOSTICS",36
"THORAC SURG CLIN",3
"TRANSL ONCOL",10
"TUMOR BIOL",10
"ULTRASONICS",51
"VIS COGN",9
"YONSEI MED J",3
"Z ANORG ALLG CHEM",2
"Z KRIST-NEW CRYST ST",2
"Z MED PHYS",26
"COMPUTATION STAT",24
"DYNA-BILBAO",25
"EVAL PROGRAM PLANN",3
"ACTA BIOENG BIOMECH",60
"ACTA THERIOL",6
"ADAPT BEHAV",45
"ADDICTION",11
"ADV MECH ENG",37
"AGING NEUROPSYCHOL C",9
"ALCOHOL ALCOHOLISM",11
"ALCOHOL RES-CURR REV",11
"AM ECON J-ECON POLIC",7
"AM J ALZHEIMERS DIS",4
"AM J PSYCHIAT",11
"AN PSICOL-SPAIN",83
"ANNU REV LAW SOC SCI",21
"ARCH IRAN MED",3
"AUST NZ J STAT",24
"AUSTRALAS PHYS ENG S",26
"AUTOMAT CONSTR",87
"AVIAT SPACE ENVIR MD",40
"B CIENC GEOD",5
"B WORLD HEALTH ORGAN",3
"BALT J ROAD BRIDGE E",55
"BEHAV MODIF",11
"BRIT J CRIMINOL",47
"BRIT J ORAL MAX SURG",39
"CAD SAUDE PUBLICA",3
"CAN J CIVIL ENG",19
"CAN RESPIR J",3
"CHRON DIS INJ CAN",3
"CHRON RESP DIS",3
"CLIMATIC CHANGE",5
"CLIN BIOMECH",34
"CLIN CHEM",3
"CLIN NEUROPHYSIOL",4
"CLIN NEUROPSYCHOL",4
"COLOMB MEDICA",3
"COMMUN STAT-SIMUL C",24
"COMPUT ELECTR ENG",27
"COMPUT ENVIRON URBAN",18
"COMPUT STAT DATA AN",24
"COMPUT STRUCT",19
"COMPUT-AIDED CIV INF",19
"CRIMINOL PUBLIC POL",47
"CURR DIR PSYCHOL SCI",9
"DISPLAYS",2
"DRUG ALCOHOL REV",11
"DRUG-EDUC PREV POLIC",11
"ECON J",7
"EKSPLOAT NIEZAWODN",25
"ENG APPL ARTIF INTEL",25
"ENVIRON HAZARDS-UK",18
"ENVIRON HEALTH-GLOB",38
"ENVIRON INT",14
"ENVIRON PLANN B",18
"EUR J AGEING",3
"EUR J EPIDEMIOL",3
"EUR J TRANSP INFRAST",55
"EVOL PSYCHOL-US",9
"EXP BRAIN RES",4
"FOREST SYST",6
"FRONT BEHAV NEUROSCI",4
"GAIT POSTURE",4
"GLOB PUBLIC HEALTH",3
"GRAEF ARCH CLIN EXP",41
"HEALTH COMMUN",53
"HEALTH EDUC BEHAV",3
"HEALTH PROMOT J AUST",3
"HEALTH PSYCHOL",3
"HUM ECOL RISK ASSESS",14
"HUM MOVEMENT SCI",4
"HUM PSYCHOPHARM CLIN",11
"IEEE T INTELL TRANSP",55
"IEEE TECHNOL SOC MAG",30
"IET INTELL TRANSP SY",55
"IMA J APPL MATH",8
"IND HEALTH",38
"INT J AUTO TECH-KOR",19
"INT J CRASHWORTHINES",19
"INT J DRUG POLICY",11
"INT J EPIDEMIOL",3
"INT J EQUITY HEALTH",3
"INT J GERIATR PSYCH",11
"INT J HEALTH GEOGR",3
"INT J IND ERGONOM",38
"INT J INJ CONTROL SA",55
"INT J MATER RES",2
"INT J METH PSYCH RES",11
"INT J OCCUP SAF ERGO",38
"INT J OFFENDER THER",47
"INT J PEDIATR OTORHI",59
"INT J PRECIS ENG MAN",25
"INT J PSYCHOPHYSIOL",4
"INT J SUSTAIN TRANSP",55
"INT PSYCHOGERIATR",11
"INTERACT COMPUT",30
"J ABNORM PSYCHOL",11
"J ADOLESCENT RES",9
"J AGING HEALTH",3
"J AGING SOC POLICY",3
"J APPL BIOMECH",40
"J APPL STAT",24
"J ATTEN DISORD",11
"J AUTISM DEV DISORD",65
"J BIOL RHYTHM",4
"J CATARACT REFR SURG",41
"J CELL AUTOM",2
"J CLIN CHILD ADOLESC",11
"J COGN PSYCHOL",9
"J ECONOMETRICS",7
"J ELECTRON IMAGING",33
"J EPIDEMIOL",3
"J EXP PSYCHOL HUMAN",9
"J GAMBL STUD",11
"J GERIATR PSYCH NEUR",4
"J GERONTOL A-BIOL",3
"J LAW ECON",7
"J LOSS PREVENT PROC",14
"J MECH BEHAV BIOMED",60
"J NEUROENG REHABIL",4
"J PEDIATR PSYCHOL",3
"J PLAN EDUC RES",18
"J PSYCHOPHARMACOL",11
"J R STAT SOC A STAT",24
"J R STAT SOC C-APPL",24
"J REHABIL RES DEV",4
"J RISK UNCERTAINTY",7
"J SLEEP RES",4
"J TIME SER ANAL",24
"J TRANSP ENG",55
"J URBAN PLAN DEV",55
"J WOMEN AGING",3
"JAMA OPHTHALMOL",41
"LIGHTING RES TECHNOL",98
"MANUAL THER",34
"MECHATRONICS",45
"MEDIA PSYCHOL",53
"NAV RES LOG",25
"NJAS-WAGEN J LIFE SC",15
"OCCUP ENVIRON MED",38
"OPTIK",2
"OPTOMETRY VISION SCI",41
"P I CIVIL ENG-TRANSP",55
"P I MECH ENG D-J AUT",19
"P I MECH ENG F-J RAI",19
"P I MECH ENG H",60
"PARKINSONISM RELAT D",4
"PEDIATR SURG INT",16
"PERCEPT MOTOR SKILL",40
"PHARMACOECONOMICS",3
"PREV SCI",11
"PROCESS SAF ENVIRON",14
"PROMET-ZAGREB",55
"PSYCHOL HEALTH",3
"PSYCHOL LEARN MOTIV",9
"PSYCHOL SPORT EXERC",40
"Q J EXP PSYCHOL",9
"REG SCI URBAN ECON",7
"RELIAB ENG SYST SAFE",25
"REV EPIDEMIOL SANTE",3
"REV SAUDE PUBL",3
"ROAD TRANSP RES",55
"S AFR GEOGR J",18
"SALUD COLECT",3
"SLEEP MED REV",4
"SLEEP MED",4
"SLEEP",4
"SPORTVERLETZ SPORTSC",40
"SRP ARK CELOK LEK",3
"STRUCT ENG MECH",19
"STUD INFORM CONTROL",25
"SUBST ABUSE TREAT PR",11
"T GIS",18
"TRANSP LETT",55
"TRANSPORT PLAN TECHN",55
"TRANSPORT POLICY",55
"TRANSPORT RES D-TR E",55
"TRANSPORT REV",55
"TRANSPORTATION",55
"TRANSPORTMETRICA A",55
"TRANSPORT-VILNIUS",55
"UNIV PSYCHOL",83
"URBAN DES INT",18
"VALUE HEALTH",3
"VEHICLE SYST DYN",19
"VET MEXICO",31
"WIRES COGN SCI",9
"ZH VYSSH NERV DEYAT+",4
"AUST ACAD RES LIBR",57
"ENGL SPECIF PURP",29
"J RISK",7
"OPEN ECON REV",7
"PUBLIC ADMIN DEVELOP",64
"REV DERIV RES",86
"INNOV EDUC TEACH INT",20
"IRISH EDUC STUD",20
"N AM J ECON FINANC",7
"SERIES-J SPAN ECON",7
"AM LAW ECON REV",7
"CUST AGRONEGOCIO",15
"ECON MODEL",7
"INFORMATICA-LITHUAN",25
"J INT MONEY FINANC",7
"J REAL ESTATE FINANC",7
"ECONOMICS-KIEL",7
"ENVIRON MODEL ASSESS",5
"EUR J INT RELAT",17
"EUR J SOC THEORY",21
"GLOBAL NETW",18
"HEALTH ECON POLICY L",3
"INT J SHIP TRANS LOG",55
"J FINANC",7
"J PEASANT STUD",18
"PROG HUM GEOG",18
"S EUR SOC POLIT",17
"ADV GENET",1
"ANIM WELFARE",31
"DUKE LAW J",48
"SYST BIOL REPROD MED",3
"AM CRIM LAW REV",48
"AM ECON REV",7
"ANNU REV FINANC ECON",7
"APPL ONTOL",92
"ESTUD ECONOMIA",7
"EUR FINANC MANAG",7
"FINANC ANAL J",7
"FINANC MANAGE",7
"FINANC RES LETT",7
"GEORGETOWN LAW J",48
"INT J IND ORGAN",7
"INT REV LAW ECON",7
"INT TAX PUBLIC FINAN",7
"J FINANC SERV RES",7
"J FORECASTING",7
"J GREY SYST-UK",25
"J MONEY CREDIT BANK",7
"J PENSION ECON FINAN",7
"J PORTFOLIO MANAGE",7
"OR SPECTRUM",25
"PUBLIC CHOICE",7
"RAND J ECON",7
"REV FINANC",7
"S AFR J ECON",7
"TURK STUD",17
"ACCOUNTS CHEM RES",2
"ACS CATAL",2
"ACS MACRO LETT",2
"ACS SUSTAIN CHEM ENG",2
"ACS SYNTH BIOL",1
"ACTA BIOCHIM POL",1
"ACTA CHIM SINICA",2
"ACTA CHIM SLOV",2
"ACTA CRYSTALLOGR A",2
"ACTA CRYSTALLOGR B",2
"ACTA CRYSTALLOGR C",2
"ACTA CRYSTALLOGR D",1
"ACTA CRYSTALLOGR F",1
"ACTA MATER",2
"ACTA PHYS POL A",2
"ACTA PHYS SIN-CH ED",2
"ACTA PHYS-CHIM SIN",2
"ACTA PHYSIOL PLANT",15
"ADSORPT SCI TECHNOL",14
"ADSORPTION",2
"ADV AGRON",15
"ADV BIOCHEM ENG BIOT",1
"ADV CANCER RES",1
"ADV COND MATTER PHYS",2
"ADV ENERGY MATER",2
"ADV HETEROCYCL CHEM",2
"ADV INORG CHEM",2
"ADV INSECT PHYSIOL",6
"ADV MICROB PHYSIOL",1
"ADV OPT MATER",2
"ADV ORGANOMET CHEM",2
"ADV PHYS ORG CHEM",2
"ADV PROTEIN CHEM STR",1
"ADV SYNTH CATAL",2
"AEROSOL SCI TECH",5
"ALDRICHIM ACTA",2
"ALZHEIMERS RES THER",4
"AMINO ACIDS",1
"ANAL LETT",28
"ANAL SCI",28
"ANGIOGENESIS",1
"ANN PHYS-BERLIN",2
"ANNU REP NMR SPECTRO",2
"ANNU REV BIOCHEM",1
"ANNU REV BIOPHYS",1
"ANNU REV MATER RES",2
"ANNU REV MICROBIOL",1
"ANNU REV PHYS CHEM",2
"ANTI-CANCER AGENT ME",1
"APPL BIOCHEM BIOTECH",14
"APPL CATAL A-GEN",2
"APPL CATAL B-ENVIRON",2
"APPL ENVIRON MICROB",1
"APPL MICROBIOL BIOT",14
"APPL ORGANOMET CHEM",2
"APPL PHYS A-MATER",2
"APPL PHYS B-LASERS O",2
"APPL PHYS EXPRESS",2
"APPL SPECTROSC REV",28
"APPL SPECTROSC",28
"APPL SURF SCI",2
"AQUAT TOXICOL",14
"ARAB J CHEM",2
"ARCH BIOCHEM BIOPHYS",1
"ARCH PHARM",1
"ARCHAEOMETRY",50
"ARKIVOC",2
"ARTIF CELL NANOMED B",36
"ASIAN J ORG CHEM",2
"ASSAY DRUG DEV TECHN",1
"ASTROBIOLOGY",5
"ASTROPHYS J",22
"ATMOS CHEM PHYS",5
"ATMOS ENVIRON",5
"B CHEM SOC JPN",2
"B KOREAN CHEM SOC",2
"B MATER SCI",2
"BBA-BIOENERGETICS",1
"BBA-MOL BASIS DIS",1
"BEILSTEIN J NANOTECH",2
"BEILSTEIN J ORG CHEM",2
"BIOCHEM ENG J",14
"BIOCHEM J",1
"BIOCHEM SOC T",1
"BIOCHEMISTRY-MOSCOW+",1
"BIOCHEMISTRY-US",1
"BIOCHIMIE",1
"BIOELECTROCHEMISTRY",28
"BIOESSAYS",1
"BIOFABRICATION",36
"BIOMASS BIOENERG",14
"BIOMETALS",1
"BIOMICROFLUIDICS",28
"BIOMOL NMR ASSIGN",1
"BIOORG CHEM",1
"BIOPHYS CHEM",1
"BIOPHYS J",1
"BIOPROC BIOSYST ENG",14
"BIORESOURCE TECHNOL",14
"BIOSCIENCE REP",1
"BIOTECHNOL LETT",14
"BIOTECHNOL PROGR",14
"BMC STRUCT BIOL",1
"BRAIN PATHOL",4
"BRIEF FUNCT GENOMICS",1
"BULG CHEM COMMUN",2
"CA-CANCER J CLIN",10
"CALCIFIED TISSUE INT",3
"CAN J CHEM ENG",14
"CAN J CHEM",2
"CARBOHYD RES",2
"CARBON",2
"CATAL COMMUN",2
"CATAL LETT",2
"CATAL REV",2
"CATAL SCI TECHNOL",2
"CATAL SURV ASIA",2
"CATAL TODAY",2
"CELL SIGNAL",1
"CENT EUR J CHEM",2
"CERAM INT",2
"CHEM BIOCHEM ENG Q",14
"CHEM BIODIVERS",23
"CHEM CENT J",23
"CHEM ENG PROCESS",14
"CHEM ENG TECHNOL",14
"CHEM HETEROCYCL COM+",2
"CHEM J CHINESE U",2
"CHEM LETT",2
"CHEM LISTY",28
"CHEM MATER",2
"CHEM PAP",2
"CHEM PHYS LIPIDS",1
"CHEM PHYS",2
"CHEM REC",2
"CHEM VAPOR DEPOS",2
"CHEM-ASIAN J",2
"CHEMBIOCHEM",1
"CHEM-BIOL INTERACT",38
"CHEMCATCHEM",2
"CHEM-ING-TECH",14
"CHEMISTRYOPEN",2
"CHEMMEDCHEM",1
"CHEMOSPHERE",14
"CHEMPLUSCHEM",2
"CHEMSUSCHEM",2
"CHIM OGGI",2
"CHIMIA",2
"CHINESE CHEM LETT",2
"CHINESE J ANAL CHEM",28
"CHINESE J CATAL",2
"CHINESE J CHEM ENG",14
"CHINESE J CHEM PHYS",2
"CHINESE J INORG CHEM",2
"CHINESE J ORG CHEM",2
"CHINESE J STRUC CHEM",2
"CHINESE PHYS LETT",2
"CHIRALITY",2
"CHROMATOGRAPHIA",28
"CIRP ANN-MANUF TECHN",25
"COMB CHEM HIGH T SCR",1
"COMBUST FLAME",43
"COMMUN COMPUT PHYS",8
"COMP MATER SCI",2
"COMPOS INTERFACE",2
"COMPOS PART A-APPL S",2
"COMPOS PART B-ENG",19
"COMPOS SCI TECHNOL",2
"COMPUT BIOL CHEM",1
"COMPUT PHYS COMMUN",32
"COMPUT THEOR CHEM",2
"CONCEPT MAGN RESON A",26
"COORDIN CHEM REV",2
"CORROS SCI",2
"CR CHIM",2
"CRIT REV BIOTECHNOL",14
"CRIT REV ENV SCI TEC",14
"CROAT CHEM ACTA",2
"CRYST RES TECHNOL",2
"CRYSTALLOGR REV",2
"CRYSTENGCOMM",2
"CSH PERSPECT BIOL",1
"CURR ALZHEIMER RES",4
"CURR ANAL CHEM",28
"CURR APPL PHYS",2
"CURR COMPUT-AID DRUG",1
"CURR DRUG TARGETS",1
"CURR OPIN BIOTECH",1
"CURR OPIN SOLID ST M",2
"CURR OPIN STRUC BIOL",1
"CURR ORG SYNTH",2
"CURR TOP MICROBIOL",1
"DIAM RELAT MATER",2
"DOKL PHYS CHEM",2
"ECS J SOLID STATE SC",2
"ELECTROANAL",28
"ELECTROCATALYSIS-US",2
"ELECTROCHEM COMMUN",2
"ELECTROCHEMISTRY",2
"ELECTROCHIM ACTA",2
"ELECTRON MATER LETT",2
"ELECTROPHORESIS",28
"ELIFE",1
"EMBO J",1
"ENERG ENVIRON SCI",2
"ENVIRON MICROBIOL",1
"ENVIRON SCI-PROC IMP",14
"ENVIRON TOXICOL CHEM",14
"EPL-EUROPHYS LETT",2
"EUR BIOPHYS J BIOPHY",1
"EUR J INTEGR MED",23
"EUR J ORG CHEM",2
"EUR PHYS J B",2
"EUR PHYS J D",2
"EUR PHYS J E",2
"EUR POLYM J",2
"EXPERT OPIN THER PAT",1
"EXPERT REV MOL DIAGN",1
"EXPRESS POLYM LETT",2
"FARADAY DISCUSS",2
"FISH SHELLFISH IMMUN",6
"FLAVOUR FRAG J",23
"FOOD ANAL METHOD",23
"FRONT PLANT SCI",15
"FUEL PROCESS TECHNOL",14
"FULLER NANOTUB CAR N",2
"FUNCT MATER LETT",2
"FUTURE MED CHEM",1
"FUTURE MICROBIOL",13
"GENE",1
"GENET MOL RES",1
"GENETICS",1
"GEOSTAND GEOANAL RES",5
"GLYCOBIOLOGY",1
"GLYCOCONJUGATE J",1
"GOLD BULL",2
"GREEN CHEM LETT REV",2
"GREEN CHEM",2
"HELV CHIM ACTA",2
"HETEROATOM CHEM",2
"HETEROCYCL COMMUN",2
"HETEROCYCLES",2
"HIGH PERFORM POLYM",2
"HYLE",2
"IEEE PHOTONICS J",2
"IEEE SENS J",2
"IEEE T DIELECT EL IN",56
"IEEE T MAGN",2
"IEEE T NANOTECHNOL",2
"INDIAN J CHEM A",2
"INDIAN J CHEM B",2
"INHAL TOXICOL",38
"INORG CHEM COMMUN",2
"INORG CHIM ACTA",2
"INT J APPL CERAM TEC",2
"INT J CHEM KINET",2
"INT J ELECTROCHEM SC",2
"INT J HEAT MASS TRAN",37
"INT J HYDROGEN ENERG",2
"INT J MASS SPECTROM",28
"INT J MOD PHYS B",2
"INT J NANOTECHNOL",2
"INT J PARASITOL",13
"INT J PEPT RES THER",1
"INT J QUANTUM CHEM",2
"INT J THERMOPHYS",2
"INT REV PHYS CHEM",2
"INTEGR FERROELECTR",2
"IONICS",2
"IUBMB LIFE",1
"J AIR WASTE MANAGE",5
"J ALLOY COMPD",2
"J ALZHEIMERS DIS",4
"J AM CERAM SOC",2
"J ANTIBIOT",1
"J APPL ELECTROCHEM",2
"J APPL SPECTROSC+",2
"J BACTERIOL",1
"J BIOCHEM MOL TOXIC",38
"J BIOCHEM",1
"J BIOL INORG CHEM",2
"J BIOL PHYS",1
"J BIOMED MATER RES B",36
"J BIOMOL NMR",1
"J BIOMOL STRUCT DYN",1
"J BIOSCIENCES",1
"J BIOTECHNOL",14
"J BRAZIL CHEM SOC",28
"J CARBOHYD CHEM",2
"J CATAL",2
"J CELL BIOL",1
"J CERAM SOC JPN",2
"J CHEM CRYSTALLOGR",2
"J CHEM ECOL",6
"J CHEM RES",2
"J CHEM SOC PAKISTAN",2
"J CHEM THERMODYN",14
"J CHIL CHEM SOC",2
"J CHIN CHEM SOC-TAIP",2
"J CLUST SCI",2
"J COAT TECHNOL RES",2
"J COMPOS MATER",2
"J COMPUT AID MOL DES",1
"J COMPUT CHEM",2
"J COMPUT THEOR NANOS",2
"J COORD CHEM",2
"J CRYST GROWTH",2
"J CULT HERIT",28
"J ELECTROANAL CHEM",2
"J ELECTROCHEM SOC",2
